indend_level,item_code,item_name,item_name_ri,item_code_cpi,indent_level,CPIU,CPIW,year,name_2,name_3,name_1,ri_ref_ym,cpi_yr
4,SETD02,Motor vehicle maintenance and servicing,Motor vehicle maintenance and servicing,SETD02,4,0.478,0.475,2001,Private transportation,Motor vehicle maintenance and repair,Transportation,200112,2002
4,SETD03,Motor vehicle repair,Motor vehicle repair,SETD03,4,0.821,0.868,2001,Private transportation,Motor vehicle maintenance and repair,Transportation,200112,2002
4,SETD09,Unsampled service policies,Unsampled service policies,SETD,4,0.02,0.019,2001,Private transportation,Motor vehicle maintenance and repair,Transportation,200112,2002
3,SETE01,Motor vehicle insurance,Motor vehicle insurance,SETE,3,2.288,2.679,2001,Private transportation,Motor vehicle insurance,Transportation,200112,2002
4,SETF01,State motor vehicle registration and license fees,State motor vehicle registration and license fees,SETF01,4,0.373,0.357,2001,Private transportation,Motor vehicle fees,Transportation,200112,2002
4,SETF03,Parking and other fees,Parking and other fees,SETF03,4,0.161,0.129,2001,Private transportation,Motor vehicle fees,Transportation,200112,2002
4,SETF09,Unsampled motor vehicle fees,Unsampled motor vehicle fees,SETF,4,0.023,0.02,2001,Private transportation,Motor vehicle fees,Transportation,200112,2002
3,SETG01,Airline fare,Airline fares,SETG01,3,0.761,0.508,2001,Public transportation,Airline fares,Transportation,200112,2002
3,SETG02,Other intercity transportation,Other intercity transportation,SETG02,3,0.187,0.124,2001,Public transportation,Other intercity transportation,Transportation,200112,2002
3,SETG03,Intracity transportation,Intracity transportation,SETG03,3,0.256,0.3,2001,Public transportation,Intracity transportation,Transportation,200112,2002
3,SETG09,Unsampled public transportation,Unsampled public transportation,SETG,3,0.006,0.008,2001,Public transportation,Unsampled public transportation,Transportation,200112,2002
4,SEMF01,Prescription drugs,Prescription drugs,SEMF01,4,0.959,0.68,2001,Medical care commodities,Medicinal drugs,Medical care,200112,2002
4,SEMF02,Nonprescription drugs,Nonprescription drugs,SEMF02,4,0.304,0.25,2001,Medical care commodities,Medicinal drugs,Medical care,200112,2002
3,SEMG01,Medical equipment and supplies,Medical equipment and supplies,SEMG,3,0.114,0.076,2001,Medical care commodities,Medical equipment and supplies,Medical care,200112,2002
4,SEMC01,Physicians' services,Physicians' services,SEMC01,4,1.503,1.28,2001,Medical care services,Professional services,Medical care,200112,2002
4,SEMC02,Dental services,Dental services,SEMC02,4,0.747,0.584,2001,Medical care services,Professional services,Medical care,200112,2002
4,SEMC03,Eyeglasses and eye care,Eyeglasses and eye care,SEMC03,4,0.288,0.24,2001,Medical care services,Professional services,Medical care,200112,2002
4,SEMC04,Services by other medical professionals,Services by other medical professionals,SEMC04,4,0.247,0.142,2001,Medical care services,Professional services,Medical care,200112,2002
4,SEMD01,Hospital services,Hospital services,SEMD01,4,1.271,1.075,2001,Medical care services,Hospital and related services,Medical care,200112,2002
4,SEMD02,Nursing homes and adult day services,Nursing homes and adult day services,SEMD02,4,0.082,0.017,2001,Medical care services,Hospital and related services,Medical care,200112,2002
4,SEMD03,Care of invalids and elderly at home,Care of invalids and elderly at home,SEMD03,4,0.179,0.02,2001,Medical care services,Hospital and related services,Medical care,200112,2002
3,SEME,Health insurance,Health insurance,SEME,3,0.297,0.276,2001,Medical care services,Health insurance,Medical care,200112,2002
3,SERA01,Televisions,Televisions,SERA01,3,0.15,0.157,2001,Video and audio,Televisions,Recreation,200112,2002
3,SERA02,Cable and satellite television and radio service,Cable and satellite television service,SERA02,3,0.928,1.034,2001,Video and audio,Cable and satellite television service,Recreation,200112,2002
3,SERA03,Other video equipment,Other video equipment,SERA03,3,0.055,0.064,2001,Video and audio,Other video equipment,Recreation,200112,2002
3,SERA04,"Video cassettes, discs, and other media including rental","Video discs and other media, including rental of video",SERA04,3,0.148,0.182,2001,Video and audio,"Video discs and other media, including rental of video",Recreation,200112,2002
3,SERA05,Audio equipment,Audio equipment,SERA05,3,0.117,0.131,2001,Video and audio,Audio equipment,Recreation,200112,2002
3,SERA06,"Audio discs, tapes and other media",Recorded music and music subscriptions,SERA06,3,0.147,0.159,2001,Video and audio,Recorded music and music subscriptions,Recreation,200112,2002
3,SERA09,Unsampled video and audio,Unsampled video and audio,SERA,3,0.099,0.076,2001,Video and audio,Unsampled video and audio,Recreation,200112,2002
3,SERB01,Pets and pet products,Pets and pet products,SERB01,3,0.456,0.5,2001,"Pets, pet products and services",Pets and pet products,Recreation,200112,2002
3,SERB02,Pet services including veterinary,Pet services including veterinary,SERB02,3,0.255,0.203,2001,"Pets, pet products and services",Pet services including veterinary,Recreation,200112,2002
3,SERC01,Sports vehicles including bicycles,Sports vehicles including bicycles,SERC01,3,0.286,0.413,2001,Sporting goods,Sports vehicles including bicycles,Recreation,200112,2002
3,SERC02,Sports equipment,Sports equipment,SERC02,3,0.333,0.309,2001,Sporting goods,Sports equipment,Recreation,200112,2002
3,SERC09,Unsampled sporting goods,Unsampled sporting goods,SERC,3,0.009,0.006,2001,Sporting goods,Unsampled sporting goods,Recreation,200112,2002
3,SERD01,Photographic equipment and supplies,Photographic equipment and supplies,SERD01,3,0.11,0.092,2001,Photography,Photographic equipment and supplies,Recreation,200112,2002
3,SERD02,Photographers and film processing,Photographers and photo processing,SERD02,3,0.129,0.122,2001,Photography,Photographers and photo processing,Recreation,200112,2002
3,SERD09,Unsampled photography,Unsampled photography,SERD,3,0.001,0.001,2001,Photography,Unsampled photography,Recreation,200112,2002
3,SERE01,Toys,Toys,SERE01,3,0.36,0.399,2001,Other recreational goods,Toys,Recreation,200112,2002
3,SERE02,"Sewing machines, fabric and supplies","Sewing machines, fabric and supplies",SERE02,3,0.058,0.052,2001,Other recreational goods,"Sewing machines, fabric and supplies",Recreation,200112,2002
3,SERE03,Music instruments and accessories,Music instruments and accessories,SERE03,3,0.062,0.049,2001,Other recreational goods,Music instruments and accessories,Recreation,200112,2002
3,SERE09,Unsampled recreation commodities,Unsampled recreation commodities,SERE,3,0.016,0.012,2001,Other recreational goods,Unsampled recreation commodities,Recreation,200112,2002
